l,l2,Dalsi parametry,Funkce,
bookmarks,all,,vsechny bookmarks,
bookmarks,history,,bookmarks history,more_results=1 - posle 500 zaznamu
bookmarks,new,,bookmarks kde jsou nove prispevky,
discussion,book,"id_klub, category",book diskuse,"category - nepovinny, pripadne id kategorie"
discussion,delete,"id, id_wu",vymazat prispevek,
discussion,home,id_klub,"záhlaví, zahlavi",
discussion,messages,"id, direction",vypsat zpravy v diskusi,
discussion,messages,"id, direction,id_wu",vypsat od urciteho prispevku,
discussion,messages,"filter_user, filter_text","hledani v diskusi podle uzivatele, textu",
discussion,rating_give,"rating (positive/negative), toggle (1/0), id_klub, id_wu, neg_confirmation (1)",palcovani,
discussion,rating_info,"id_klub, id_wu","palcovani, zobrazeni udelenych palcu",
discussion,reminder,"id_klub, id_wu, reminder  (1=pridat, 0=odebrat)",prispevek do upominek,
discussion,send,"id, message, attachment",odeslat zpravu do diskuse (odpovedet),
discussion,unbook,id_klub,unbook diskuse,
events,show,id,zobrazit udalost,
feed,entry,"user, id",konkretni zaznam ve feedu,
feed,friends,,feed pratel,v odpovedi: type = u_update; u_ad; u_friend; u_event
feed,notices,keep_new (1/0),prehled notifikaci,keep_new=1 - neprecte nove notifikace
feed,send,message,odeslani feedu,
feed,send_comment,,odeslani komentare,
feed,user,,feed uzivatele,
help,ipcheck,,stav ipchecku,
help,test,,test,
mail,delete,id_mail,smazani zpravy,
mail,messages,"direction, id_mail",vypis zprav,"direction=newest/newer/older/oldest - newer a older potrebuji id_mail, pak vypisi novejsi/starsi nez tahle hodnota"
mail,notify_writing,,"pokud ma ten reading_user otevrene chatove okno se mnou, ukaze se mu tam, ze mu zrovna pisi. obnovovat by se to melo idealne po 5s, max po 10s (po 5s to zacne splyvat, po 10s to uplne zmizi)",
mail,reminder,"id_mail, reminder (1=pridat, 0=odebrat)",zprava - upominka,
mail,send,"recipient, message, attachment",poslani zpravy,
mail,messages,"filter_user, filter_text",,
mail,conversations,,"vypis poslednich lidi, s kterymi si dotycny psal","posila nick, cas a smer posledni zpravy"
market,show,id,zobrazit inzerat,
market,list,type = mine,vypis vlastnich inzeratu,
market,add_photo,id,prida fotku k inzeratu,
market,send_comment," id = id inzeratu, message = text odpovedi (prevadi reply jako v diskuzich)",,
market,set_state,"id = id inzeratu, state = active | sold (old nejde nastavit rucne)",,
people,active_friends,,seznam pratel aktivnich,
people,friends,,seznam pratel,
people,status,nick,nacte info o aktualni aktivite (je tam html verze co pouzivam na nyxu i klasicky active blok jako jinde),
people,autocomplete,nick (aspon prvni dva znaky),"vraci tri pole - exact, friends (nick ASC), others (cas posledniho loginu DESC) - vzdy nick + active pole jako jinde pokud je aktivni",
search,discussion,term,vyhledani diskusi,
search,writeups,"filter_user, filter_text, position",hledani pres cely nyx,"strankuje se po dvaceti, max. jde zadat 980 (tj. nejde prolistovat vic nez 1000 vysledku)"
util,make_inactive,,inaktivace uzivatelske session vytvorene prihlasenim pres API tokeny,
util,remove_authorization,,odstrani autorizaci,
,,,,
events,change_status," id = id udalosti, my_status = attending/interested/none",,
events,send_comment," id = id udalosti, message = text odpovedi (prevadi reply jako v diskuzich)",,
events,delete_comment," id = id udalosti/inzeratu/obrazku, id_comment = id komentare",,
events,list,type = watched,vypise seznam sledovanych udalosti,
events,rating_give,"rating (positive/negative), toggle (1/0), id, id_comment, neg_confirmation (1)",palcovani,
events,rating_info,"id, id_comment","palcovani, zobrazeni udelenych palcu",
,,,,
market,delete_comment,"id = id udalosti/inzeratu/obrazku, id_comment = id komentare",,
gallery,delete_comment,"id = id udalosti/inzeratu/obrazku, id_comment = id komentare",,
,,,,
gcm,register,regid,registrace google cloud messaging,
gcm,test,,posle zpravu na registrovane regId,
,,,,
apns,register,"apns_token, client (inyx, inyx-dev, nutno se domluvit predem, poslat certifikaty apod...)",registrace do apns,
apns,test,,"posle zpravu, moc nefunguje :)",
,,,,
files,delete,id_file,smazani souboru s danym id,
